holiday_id,destination,description,price
576,Paris,Explore the Eiffel Tower and the Louvre Museum.,600
187,Rome,Wander through the Colosseum and the Roman Forum.,500
895,Barcelona,Discover the Sagrada Familia and Park Güell.,400
739,Amsterdam,Cruise the canals and visit the Anne Frank House.,450
942,Lisbon,Ride the iconic Tram 28 and savour pastel de nata.,350
113,Berlin,Experience history at the Brandenburg Gate and the Reichstag Building.,550
236,Vienna,Marvel at the Schönbrunn Palace and enjoy a classical concert.,650
537,Prague,Stroll across the Charles Bridge and explore Prague Castle.,300
378,Budapest,Relax in the thermal baths and admire the Hungarian Parliament Building.,500
795,Athens,Walk in the footsteps of Socrates at the Acropolis.,400
972,Florence,Admire Michelangelo's David and climb the Duomo.,600
147,Venice,Take a gondola ride and explore Doge's Palace.,700
391,Madrid,Visit the Prado Museum and enjoy tapas in the Plaza Mayor.,450
846,Dublin,Experience the lively pub scene and Trinity College Library.,350
273,Copenhagen,Cycle through the colourful streets of Nyhavn.,550
628,Stockholm,Explore the Vasa Museum and wander through Gamla Stan.,650
431,Oslo,Hike in the scenic fjords and visit the Viking Ship Museum.,500
174,Helsinki,Discover the unique design of the Temppeliaukio Church.,400
753,Edinburgh,Climb Arthur's Seat and explore Edinburgh Castle.,450
912,London,Visit Buckingham Palace and see a show in the West End.,750
327,Gothenburg,Explore the Gothenburg archipelago and visit the Liseberg amusement park.,425
864,Seville,Experience the passion of flamenco and visit the Alcázar Palace.,375
593,Cologne,Marvel at the Cologne Cathedral and explore the Chocolate Museum.,475
218,Hamburg,Visit the Miniatur Wunderland and enjoy the nightlife on the Reeperbahn.,525
675,Bologna,Indulge in the culinary delights of Emilia-Romagna and see the Two Towers.,400
482,Turin,Discover the history of the House of Savoy and visit the Egyptian Museum.,450
139,Cork,Explore the Blarney Castle and kiss the Blarney Stone.,375
715,Liverpool,Visit the Beatles Story Museum and enjoy the vibrant music scene.,425
996,Krakow,Wander through the Main Market Square and explore the Wawel Castle.,325
351,Rhodes,Relax on the beaches and explore the medieval Old Town.,350
829,Lyon,Indulge in the gastronomy of Lyon and visit the Notre-Dame de Fourvière basilica.,450
514,Zurich,Explore the Swiss National Museum and enjoy the scenic beauty of Lake Zurich.,550
261,Porto,Visit the Ribeira district and enjoy a Port wine tasting.,400
635,Valencia,See the City of Arts and Sciences and relax on the beaches.,375
417,Salzburg,Explore the Hohensalzburg Fortress and visit Mozart's birthplace.,475
106,Bergen,Hike in the mountains and see the Bryggen Hanseatic Wharf.,525
778,Ljubljana,Stroll along the Ljubljanica River and visit the Ljubljana Castle.,400
925,Riga,Explore the Art Nouveau architecture and visit the House of the Blackheads.,350
312,Tallinn,Wander through the medieval Old Town and see the Alexander Nevsky Cathedral.,425
808,Vilnius,Visit the Gediminas Tower and explore the Palace of the Grand Dukes of Lithuania.,475
563,Bratislava,See the Bratislava Castle and explore the Old Town.,350
297,Luxembourg City,Visit the Grand Ducal Palace and explore the Bock Casemates.,425
659,The Hague,See the International Court of Justice and visit the Mauritshuis museum.,475
465,Antwerp,Marvel at the Grote Markt and see the Rubens House.,400
124,Ghent,Explore the Gravensteen castle and visit the Saint Bavo Cathedral.,375
741,Bruges,Take a canal tour and see the Markt square.,450
983,Innsbruck,Visit the Golden Roof and enjoy the scenic views of the Alps.,500
340,Granada,Explore the Alhambra Palace and the Generalife gardens.,425
832,Malaga,Relax on the beaches and visit the Picasso Museum.,375
507,San Sebastian,Enjoy the pintxos and explore the Old Town.,450
254,Bilbao,See the Guggenheim Museum Bilbao and explore the Casco Viejo.,500
611,Zaragoza,Visit the Aljafería Palace and see the Basilica del Pilar.,400
404,Santiago de Compostela,Walk the Camino de Santiago and see the Cathedral.,375
162,Toledo,Explore the Alcázar of Toledo and visit the Cathedral.,450
723,Segovia,See the Aqueduct of Segovia and visit the Alcázar.,425
955,Avila,Walk the Walls of Avila and visit the Cathedral.,375
367,Salamanca,Explore the Plaza Mayor and see the University of Salamanca.,450
819,Valladolid,Visit the National Sculpture Museum and see the Plaza Mayor.,425
581,Burgos,See the Burgos Cathedral and explore the Museum of Human Evolution.,375
205,Leon,Visit the León Cathedral and explore the Barrio Húmedo.,450
692,Oviedo,See the Cathedral of San Salvador and explore the old town.,425
470,Santander,Relax on the beaches and visit the Magdalena Palace.,375
150,Gijon,Explore the old town and visit the Laboral City of Culture.,450
786,Zaragoza,See the Aljafería Palace and the Basilica del Pilar.,400
938,Cordoba,Visit the Mezquita-Cathedral and explore the Alcázar de los Reyes Cristianos.,375
303,Girona,Wander through the Jewish Quarter and see the Girona Cathedral.,450
871,Tarragona,Explore the Roman ruins and relax on the beaches.,425
528,Lleida,Visit the Seu Vella cathedral and explore the old town.,375
285,Palma de Mallorca,See the Cathedral of Palma and relax on the beaches.,450
643,Ibiza,Enjoy the nightlife and relax on the beaches.,425
456,Menorca,Explore the prehistoric monuments and relax on the beaches.,375
194,Formentera,Enjoy the laid-back atmosphere and relax on the beaches.,450
707,Valencia,See the City of Arts and Sciences and the Oceanogràfic aquarium.,425
961,Alicante,Relax on the beaches and visit the Santa Bárbara Castle.,375
334,Murcia,Explore the Cathedral of Murcia and the Salzillo Museum.,450
857,Cartagena,Visit the Roman Theatre and the Punic Walls.,425
544,Almeria,See the Alcazaba and explore the Tabernas Desert.,375
229,Granada,Visit the Alhambra Palace and the Generalife gardens.,450
680,Palermo,Explore the vibrant markets and the Palermo Cathedral.,390
498,Siena,Wander through the Piazza del Campo and see the Palio horse race.,410
109,Lucca,Cycle the historic walls and visit the Guinigi Tower.,375
766,Verona,See Juliet's balcony and explore the Arena di Verona.,440
901,Cinque Terre,Hike between the five colorful villages and enjoy the coastal views.,460
385,Lake Como,Relax by the lake and visit the Villa del Balbianello.,525
813,Lugano,Explore the Swiss-Mediterranean city and enjoy the lake views.,425
570,Interlaken,Adventure in the Bernese Oberland and see the Jungfraujoch.,490
242,Zermatt,Hike in the Matterhorn region and enjoy the mountain views.,560
605,Alesund,Explore the Art Nouveau architecture and see the Atlantic Sea-Park.,400
428,Tromsø,See the Northern Lights and visit the Arctic Cathedral.,460
133,Trondheim,Explore the Nidaros Cathedral and the Archbishop's Palace Museum.,425
791,Berat,Wander through the historic city and see the Berat Castle.,350
917,Gjirokastër,Explore the UNESCO-listed old town and visit the Gjirokastër Fortress.,390
321,Paphos,Relax on the beaches and visit the Tombs of the Kings.,410
844,Nicosia,Explore the divided city and see the Selimiye Mosque.,440
531,Cagliari,Visit the Bastione di Saint Remy and explore the old town.,375
208,Alghero,Relax on the beaches and explore the Neptune's Grotto.,400
667,Ajaccio,Visit the birthplace of Napoleon and explore the citadel.,425
439,Bonifacio,See the cliffs of Bonifacio and explore the old town.,450
176,Porto-Vecchio,Relax on the beaches and explore the Bavella Mountains.,475
720,Calvi,Visit the Citadel and enjoy the beaches.,440